Week,GS EB04 GSkWh,GS TM01 Outdoor Temp C
06.01.19,11999,0.4
13.01.19,17426,-3.7
20.01.19,23968,-11.6
27.01.19,17698,-5.6
03.02.19,20939,-9.8
10.02.19,15249,-5.6
17.02.19,15000,-0.6
24.02.19,12279,2.5
03.03.19,12650,1.5
10.03.19,15770,-2.8
17.03.19,1789,-2.2
24.03.19,9415,4.0
31.03.19,9468,4.4
07.04.19,10261,3.3
14.04.19,10838,2.3
21.04.19,7091,7.8
28.04.19,4017,13.3
05.05.19,4400,9.4
12.05.19,6490,5.9
19.05.19,3870,12.8
24.05.19,2887,15.0
30.06.19,3942,18.6
03.07.19,1452,14.2
12.07.19,1066,17.4
04.08.19,204,21.8
11.08.19,2594,17.4
18.08.19,2843,15.7
25.08.19,3222,15.6
01.09.19,3087,17.8
08.09.19,2960,10.2
15.09.19,1865,11.6
20.09.19,2976,8.3
29.09.19,3267,10.1
06.10.19,6632,4.3
13.10.19,6228,4.8
20.10.19,5844,5.8
27.10.19,6861,5.3
03.11.19,11635,-0.6
10.11.19,15655,-6.0
17.11.19,11217,0.3
24.11.19,10107,2.0
01.12.19,12565,-2.9
08.12.19,13662,-4.4
15.12.19,10629,0.3
22.12.19,13593,-3.6
29.12.19,13362,-3.8
31.12.19,2869,1.6
05.01.20,6914,0.3
12.01.20,10919,-0.2
19.01.20,9416,1.6
26.01.20,10082,0.4
02.02.20,9503,2.0
09.02.20,12046,-1.9
16.02.20,9496,0.8
23.02.20,7246,3.0
01.03.20,12353,-4.0
08.03.20,9213,0.8
15.03.20,7742,2.5
22.03.20,6759,3.2
29.03.20,9296,4.5
05.04.20,9222,3.2
12.04.20,6869,6.2
19.04.20,6839,6.2
26.04.20,4620,10.2
03.05.20,5885,6.5
10.05.20,5027,8.2
17.05.20,5925,6.3
24.05.20,4121,11.0
31.05.20,3242,15.9
07.06.20,2797,16.8
14.06.20,2935,18.6
21.06.20,3521,23.8
28.06.20,3457,22.3
05.07.20,3123,13.9
12.07.20,2863,13.9
19.07.20,2839,16.5
23.07.20,1772,14.3
